iter,evals,f_best,f_mean,f_std,gbest_f,x_best
49,1960,-4.163238300000e+02,-4.307864925000e+01,8.976572785851e+01,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
50,2000,-4.930951900000e+02,-7.361096300000e+01,1.307548736814e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
51,2040,-5.066312800000e+02,-1.200749075000e+02,1.639248268832e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
52,2080,-4.082839700000e+02,-6.975745325000e+01,1.159438646598e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
53,2120,-5.166126000000e+02,-7.315468700000e+01,1.403178354838e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
54,2160,-4.776449800000e+02,-8.505497900000e+01,1.540311834629e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
55,2200,-3.996740700000e+02,-5.124912575000e+01,8.970299430281e+01,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
56,2240,-4.699386400000e+02,-1.060116440000e+02,1.612597839390e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
57,2280,-5.121352000000e+02,-6.320737425000e+01,1.278963278056e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
58,2320,-3.908129900000e+02,-5.561768700000e+01,1.100241744784e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
